Sample ID,Storage Week ,Ripening Stage,PB1,Cat,PB2,Epi,Chlor,Idaein,Q hyper,Rutin,Q gluc,Q xyl,Q arab,Q rham,Phlo,Glut-FL,Quin-FL,Malic-FL,Asc-FL,Shik-FL,Citric-FL,Glut-SK,Quin-SK,Malic-SK,Asc-SK,Shik-SK,Citric-SK,Fructose,Sorbitol,Glucose,Sucrose,ABA,DPA,PA,7OH-ABA,ABA-GE,TSS,Firmness
DCA1_S51,17,Mid,0.21,0.16,1.32,3.62,0.55,1.6,2.58,0.12,0.35,0.53,2.59,0.89,0.2,22.03,1.34,24.28,0.12,0.07,0,6.817,1.857,13.813,0.939,0.08,0.392,170.191,10.02,48.297,42.215,17.8,0.1,3.5,9.4,40.1,14.6,68.53079
DCA1_S52,17,Mid,0.16,0.12,1.44,2.49,0.53,0.51,1.29,0,0.11,0.32,1.68,0.62,0.21,17.72,1.31,22.43,0.1,0.09,0,7.898,1.951,14.462,0.75,0.094,0.363,190.836,11.987,53.547,40.276,11.3,34.9,0,6.4,134.7,14.5,73.194045
DCA1_S53,17,Mid,0.2,0.2,1.4,2.81,0.3,1.3,1.23,0,0.1,0.28,1.42,0.6,0.17,22.77,1.4,21.36,0.17,0.08,0,4.542,1.778,10.06,0.864,0.062,0.285,233.952,10.241,62.607,47.152,16.2,23,0,9.6,140.8,13.8,64.5354
DCA1_S54,17,Mid,0.23,0.17,1.83,2.95,0.36,0.85,1.21,0,0.11,0.31,1.64,0.64,0.19,24.96,1.5,32.39,0.17,0.11,0.28,8.073,2.235,13.906,0.892,0.105,0.359,289.562,13.83,79.025,74.351,17.2,1.5,0,4.8,85.4,13.55,77.90626
DCA1_S55,23,Late,0.19,0.1,1.44,2.51,0.5,0.11,1.01,0.02,0.13,0.27,1.43,0.59,0.14,6.29,0.69,5.55,0.08,0.04,0,22.101,1.625,18.722,1.979,0.113,0.316,524.254,0,151.865,77.617,6.596,22.78,0,3.8,60.314,14,76.386635
DCA1_S56,23,Late,0.17,0.09,1.27,2.51,0.56,0.49,1.02,0,0.08,0.26,1.29,0.57,0.14,5.86,0.64,6.44,0.07,0.04,0,12.145,1.515,16.472,0.993,0.139,0.606,424.226,0,128.085,94.399,10.25,14.5,0,5.84,48.6,15,72.32602
DCA1_S57,23,Late,0.21,0.12,1.27,2.72,0.55,0.43,1.67,0.04,0.19,0.36,1.68,0.87,0.2,6.33,0.66,6.5,0.06,0.04,0,15.639,2.434,19.091,0.779,0.159,1.012,343.364,0,98.909,42.989,7.8,25.7,0,2.24,58.7,13.2,79.826935
DCA1_S58,23,Late,0.21,0.11,1.43,2.66,0.46,0.23,0.93,0,0.11,0.3,1.57,0.72,0.16,8.15,0.6,6.35,0.14,0.04,0,14.683,1.946,12.133,2.373,0.174,0.815,398.354,0,119.119,67.193,15.582,8.7,0,3.1,77.216,15.2,69.05843
DCA1_S59,23,Late,0.14,0.08,1.22,2.29,0.39,0.18,0.82,0.01,0.11,0.22,1.17,0.54,0.15,6.11,0.54,6.01,0.08,0.04,0,31.196,1.723,15.974,1.468,0.123,0.556,465.206,25.545,124.908,98.099,13.8,18.9,0,1.8,63.8,15,68.58571
DCA1_S60,23,Late,0.15,0.09,1.15,2.36,0.42,0.32,0.86,0,0.08,0.27,1.36,0.65,0.15,1.62,2.56,3.86,0.08,0.03,0,12.655,2.28,10.726,1.514,0.151,0.626,535.565,0,157.149,76.544,9.88,14.6,0,3.65,69.8,13.8,63.97809
DCA1_S61,23,Late,0.19,0.2,1.38,3.52,0.5,1.75,2.56,0.05,0.19,0.52,2.63,1.13,0.27,5.64,0,6.07,0.07,0.04,0,15.018,2.018,17.608,1.9,0.123,1.551,426.15,16.586,126.42,110.361,10.07,5.65,0,2.63,99.186,14.9,79.26965
DCA1_S62,23,Late,0.2,0.1,1.07,2.32,0.55,0.38,3.92,0.19,0.42,0.66,2.83,1.3,0.2,5.35,0.56,5.97,0.15,0.04,0,16.154,2.26,14.645,1.789,0.117,0.304,433.316,42.023,140.29,84.015,18.4,13.98,0,1.28,42.1,15.9,74.934345
DCA1_S63,23,Late,0.16,0.11,1.37,2.88,0.72,0.49,1.3,0.01,0.1,0.34,1.73,0.68,0.24,5.84,0.56,7.6,0.13,0.05,0,14.61,3.205,21.794,1.693,0.211,0.305,404.031,0,127.828,64.976,13.8,2.95,0,4.36,56.8,15.1,78.040025
DCA1_S64,23,Late,0.17,0.16,1.11,2.81,0.42,0.79,1.35,0.05,0.16,0.29,1.51,0.63,0.2,7.46,0.55,6.09,0.13,0.04,0,15.472,2.624,15.659,1.529,0.138,0.293,524.259,0,152.734,71.403,6.3,19.5,0,2.87,35.8,13.9,72.615375
DCA1_S65,23,Late,0.22,0.12,1.43,2.8,0.44,0.5,0.68,0,0.07,0.23,1.17,0.59,0.17,5.89,0,5.04,0.13,0.04,0,15.9,2.011,11.947,1.432,0.088,0.374,458.398,0,151.198,85.277,10.8,9.25,0,0,41.8,14.5,80.86185
DCA1_S66,23,Late,0.2,0.15,1.93,3.91,0.4,0.84,1.09,0,0.1,0.41,2.2,0.94,0.25,8.16,0.66,6.28,0.15,0.04,0,12.467,2.628,9.997,2.251,0.088,0.268,475.684,0,143.771,50.634,9.5,14.98,0,4.37,41.2,13.6,75.978295
DCA1_S67,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S68,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S69,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S70,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S71,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S72,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S73,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S74,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S75,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S76,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S77,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCA1_S78,29,Late,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
